"iso2c";"country";"year";"NE_GDI_FTOT_KD";"NY_GDP_MKTP_KD";"GC_NFN_TOTL_GD_ZS";"SL_TLF_TOTL_IN";"SP_POP_TOTL";"NY_GNS_ICTR_ZS"
"US";"United States";1990;1614927532237,89;9001231051145,33;0,313425266939722;127955107;249623000;18,756045468632
"US";"United States";1991;1548602182282,36;8991486398945,29;0,317953716136833;128724306;252981000;18,8100151848069
"US";"United States";1992;1612095547720,16;9308206336691,96;0,328817864502808;130881564;256514000;17,6815219543437
"US";"United States";1993;1694231840125,39;9564446766765,88;0,325286988126806;132281740;259919000;17,0434226781457
"US";"United States";1994;1797660460889,14;9949782934317,11;0,316855389341034;134782362;263126000;17,8520305915713
"US";"United States";1995;1890343856287,56;10216863677326,7;0,226185441432696;136718757;266278000;18,7477978661341
"US";"United States";1996;2035035346512,28;10602294994341,4;0,327630376451638;138629458;269394000;19,6380792957173
"US";"United States";1997;2181173906973,89;11073801990034,6;0,257299444675062;141078174;272657000;20,8321463618552
"US";"United States";1998;2383886117559,01;11570064188987,7;0,306747849871442;142833616;275854000;21,3776868838487
"US";"United States";1999;2582331898682,56;12120016643945,6;0,39093876819193;144816843;279040000;20,9488562541826
"US";"United States";2000;2747537795487,66;12620268393365,1;0,416002368919003;146767130;282162411;20,8217525199071
"US";"United States";2001;2735912673718,64;12746261681131,2;1,48388442858088;147738635;284968955;19,7033471023905
"US";"United States";2002;2689519988613,38;12968262715349,6;1,59960951693796;148568986;287625193;18,3980879853363
"US";"United States";2003;2803472403828,52;13339312044507,2;1,65794167084144;149186504;290107933;17,4599181279531
"US";"United States";2004;2971479207033,44;13846057986118,7;1,66934273346057;150257786;292805298;17,7916668516736
"US";"United States";2005;3151532627710,8;14332499605579,6;1,63839759514775;152118714;295516599;18,2178073359487
"US";"United States";2006;3235814274698,73;14741688498026,9;1,56697132849227;153975992;298379912;19,3138331585358
"US";"United States";2007;3217081027143,48;15018267850123;1,66728035358967;155267878;301231207;17,6261065215996
"US";"United States";2008;3081783839607,25;14997755929109,7;1,68381448607486;157050379;304093966;15,3169909715194
"US";"United States";2009;2695880299577,33;14617299295858,1;1,85680146441125;157153235;306771529;13,994043688219
"US";"United States";2010;2,756059e+12;14992052727000;1,93755321762483;156950122;309326085;15,5181951555579
"US";"United States";2011;2882190114082,47;15224554803720,8;1,83127241283463;157034338;311580009;16,5499988887817
"US";"United States";2012;3080194004726,73;15567038144849,7;1,68910832788436;158288096;313874218;18,8365599537026
"US";"United States";2013;3190108219621,77;15853795607833;1,53028482468004;158831064;316057727;19,2616446141569
"US";"United States";2014;3353869959676,11;16242526401218,3;1,43282520103141;159610790;318386421;20,4049864153799
"US";"United States";2015;3462187541369,82;16710459044262,2;1,22782450294051;160676107;320742673;20,2584319345074
"US";"United States";2016;3527919495370,99;16972347893377;1,32873522668117;162628720;323071342;18,7159874376493
